model,loss,best_val_loss,best_epoch,gpu_peak_usage(MB),save_path
Autoencoder,MSE,0.030986406840384007,99,31.0078125,./results/gridsearch16/checkpoints/Autoencoder_MSEfp16.pth
Autoencoder,MSE+Gradient,0.047121528536081314,97,32.72998046875,./results/gridsearch16/checkpoints/Autoencoder_MSEandGradientfp16.pth
Autoencoder,MSE+MS-SSIM,0.10944779962301254,100,73.92236328125,./results/gridsearch16/checkpoints/Autoencoder_MSEandMS-SSIMfp16.pth
Autoencoder,Charbonnier+MS-SSIM,0.23021812736988068,49,71.53466796875,./results/gridsearch16/checkpoints/Autoencoder_CharbonnierandMS-SSIMfp16.pth
Autoencoder,Charbonnier+Gradient,0.11501578986644745,99,50.474609375,./results/gridsearch16/checkpoints/Autoencoder_CharbonnierandGradientfp16.pth
CAE,MSE,0.0004610668547684327,99,63.09130859375,./results/gridsearch16/checkpoints/CAE_MSEfp16.pth
CAE,MSE+Gradient,0.002412352478131652,100,83.06298828125,./results/gridsearch16/checkpoints/CAE_MSEandGradientfp16.pth
CAE,MSE+MS-SSIM,0.009559988975524902,28,91.73779296875,./results/gridsearch16/checkpoints/CAE_MSEandMS-SSIMfp16.pth
CAE,Charbonnier+MS-SSIM,0.05417998507618904,36,96.0439453125,./results/gridsearch16/checkpoints/CAE_CharbonnierandMS-SSIMfp16.pth
CAE,Charbonnier+Gradient,0.013748255092650652,99,70.9130859375,./results/gridsearch16/checkpoints/CAE_CharbonnierandGradientfp16.pth
CVAE,MSE,0.0002648715708346572,77,93.4609375,./results/gridsearch16/checkpoints/CVAE_MSEfp16.pth
CVAE,MSE+Gradient,0.00033510548746562563,16,38.26904296875,./results/gridsearch16/checkpoints/CVAE_MSEandGradientfp16.pth
CVAE,MSE+MS-SSIM,0.0006929445662535727,71,110.6201171875,./results/gridsearch16/checkpoints/CVAE_MSEandMS-SSIMfp16.pth
CVAE,Charbonnier+MS-SSIM,0.0013473696599248797,45,114.7431640625,./results/gridsearch16/checkpoints/CVAE_CharbonnierandMS-SSIMfp16.pth
CVAE,Charbonnier+Gradient,0.0007031594141153619,18,102.32421875,./results/gridsearch16/checkpoints/CVAE_CharbonnierandGradientfp16.pth
DeepCAE,MSE,0.0035625194432213902,100,119.02978515625,./results/gridsearch16/checkpoints/DeepCAE_MSEfp16.pth
DeepCAE,MSE+Gradient,0.011700468137860298,99,114.97314453125,./results/gridsearch16/checkpoints/DeepCAE_MSEandGradientfp16.pth
DeepCAE,MSE+MS-SSIM,0.03184928745031357,31,127.06396484375,./results/gridsearch16/checkpoints/DeepCAE_MSEandMS-SSIMfp16.pth
DeepCAE,Charbonnier+MS-SSIM,0.08680146560072899,22,130.7158203125,./results/gridsearch16/checkpoints/DeepCAE_CharbonnierandMS-SSIMfp16.pth
DeepCAE,Charbonnier+Gradient,0.03522222861647606,100,104.8525390625,./results/gridsearch16/checkpoints/DeepCAE_CharbonnierandGradientfp16.pth
DeepCVAE,MSE,0.00026507952861720696,15,121.1865234375,./results/gridsearch16/checkpoints/DeepCVAE_MSEfp16.pth
DeepCVAE,MSE+Gradient,0.00032228525378741324,88,130.0283203125,./results/gridsearch16/checkpoints/DeepCVAE_MSEandGradientfp16.pth
DeepCVAE,MSE+MS-SSIM,0.0007111605227692053,8,149.77392578125,./results/gridsearch16/checkpoints/DeepCVAE_MSEandMS-SSIMfp16.pth
DeepCVAE,Charbonnier+MS-SSIM,0.0013478522741934285,8,145.17529296875,./results/gridsearch16/checkpoints/DeepCVAE_CharbonnierandMS-SSIMfp16.pth
DeepCVAE,Charbonnier+Gradient,0.0006897533603478223,16,132.11474609375,./results/gridsearch16/checkpoints/DeepCVAE_CharbonnierandGradientfp16.pth
DeepVAE,MSE,0.00023624629102414474,9,83.71728515625,./results/gridsearch16/checkpoints/DeepVAE_MSEfp16.pth
DeepVAE,MSE+Gradient,0.0002993563757627271,8,85.34228515625,./results/gridsearch16/checkpoints/DeepVAE_MSEandGradientfp16.pth
DeepVAE,MSE+MS-SSIM,0.0006774565626983531,38,125.16650390625,./results/gridsearch16/checkpoints/DeepVAE_MSEandMS-SSIMfp16.pth
